time,realx,realy,realt, predx,predy,predt,sdx,sdy,sdt
0.0070004,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.0320018,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.0540031,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.0720041,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.0860049,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.0990056,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.1130064,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.1260072,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.1390079,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.1520087,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.1700097,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.1870107,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.2080119,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.2550146,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.281016,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.2960169,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.3100177,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.3220184,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.3360192,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.35102,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.3660209,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.3820218,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.3990228,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.4490257,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.4980285,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.5130293,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.5280302,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.543031,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.5580319,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.5730327,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.5890337,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.6060346,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.6220355,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.6890394,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.7110406,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.7280416,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.7410424,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.753043,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.770044,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.7860449,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.8020458,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.8180468,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.8710498,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.8970513,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.9190525,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.9360535,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.9510544,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.9640551,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
0.9900566,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
1.0030573,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
1.0170581,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
1.0380593,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
1.0630608,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
1.0780616,0,0,0,0,0,0,6.2675128059841,2.26236744758496,2.21199414699857
