time,realx,realy,realt, predx,predy,predt,sdx,sdy,sdt
0.0050003,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.018001,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.0320018,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.0440025,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.0580033,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.0740042,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.0900051,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.1650094,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.1810103,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.1980113,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.2130122,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.228013,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.2420138,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.2600149,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.2760158,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.2920167,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.3660209,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.3810218,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.3950226,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.4100234,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.4250243,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
0.4400252,0,0,0,0,0,0,0.0545518818364826,0.0779640081267336,0.154305557079719
