time,realx,realy,realt, predx,predy,predt,sdx,sdy,sdt
0.0190011,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.0300017,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.0430025,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.0550032,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.070004,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.0820047,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.0930053,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.1070061,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.1190068,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.1310075,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.1420082,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.1540088,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.1660095,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.1780102,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.1900109,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.2020116,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.2200126,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.2310132,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.2430139,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.2550146,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.2670153,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.279016,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.2940168,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.3060175,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.3180182,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.331019,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.3420196,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.3540203,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.3650209,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.3790217,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.3900223,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.401023,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.4180239,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.4300246,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.4420253,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.4570262,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.4680268,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.4800275,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.4920282,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.507029,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.5180297,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.5310304,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.542031,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.5540317,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.5670325,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.5780331,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.5890337,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.6010344,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.6130351,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.6250358,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.6380365,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.6500372,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.663038,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.6760387,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.6890394,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.7000401,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.7110407,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.7220413,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.734042,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.7460427,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.7580434,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.7710441,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.7820448,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.7950455,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.8070462,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.8190469,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.8300475,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.8420482,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.8540489,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.8650495,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.8770502,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.891051,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.9040517,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.9180525,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.9290532,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.9420539,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.9530545,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.9650552,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
0.9770559,0,0,0,0,0,0,6.20475467952431,2.27959505893975,2.18508685764275
