time,realx,realy,realt, predx,predy,predt,sdx,sdy,sdt
0.0050003,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.0190011,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.0330019,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.0460026,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.0600034,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.071004,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.0820047,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.0940054,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.106006,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.1180067,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.1290074,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.141008,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.1650094,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.1830104,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.1950111,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.2070118,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.2190125,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.2310132,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.2430139,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.2550146,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.2670153,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.2820161,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
0.298017,0,0,0,0,0,0,0.222839264568335,0.063560712447143,0.0607373609053503
