time,realx,realy,realt, predx,predy,predt,sdx,sdy,sdt
0.0140008,0,0,0,0,0,0,0,0,0
0.0310018,0,0,0,0,0,0,0,0,0
0.0440026,0,0,0,0,0,0,0,0,0
0.0590034,0,0,0,0,0,0,0,0,0
0.0710041,0,0,0,0,0,0,0,0,0
0.0830048,0,0,0,0,0,0,0,0,0
0.0940054,0,0,0,0,0,0,0,0,0
0.121007,0,0,0,0,0,0,0,0,0
0.1330077,0,0,0,0,0,0,0,0,0
0.1460084,0,0,0,0,0,0,0,0,0
0.157009,0,0,0,0,0,0,0,0,0
0.1700098,0,0,0,0,0,0,0,0,0
0.1830105,0,0,0,0,0,0,0,0,0
0.1950112,0,0,0,0,0,0,0,0,0
0.2070119,0,0,0,0,0,0,0,0,0
0.2230128,0,0,0,0,0,0,0,0,0
0.2390137,0,0,0,0,0,0,0,0,0
0.2560147,0,0,0,0,0,0,0,0,0
0.2770159,0,0,0,0,0,0,0,0,0
0.3360193,0,0,0,0,0,0,0,0,0
0.3940226,0,0,0,0,0,0,0,0,0
0.4120236,0,0,0,0,0,0,0,0,0
0.4340249,0,0,0,0,0,0,0,0,0
0.4500258,0,0,0,0,0,0,0,0,0
0.4650266,0,0,0,0,0,0,0,0,0
0.5180297,0,0,0,0,0,0,0,0,0
0.5550318,0,0,0,0,0,0,0,0,0
0.5690326,0,0,0,0,0,0,0,0,0
0.5820333,0,0,0,0,0,0,0,0,0
0.5950341,0,0,0,0,0,0,0,0,0
0.6080348,0,0,0,0,0,0,0,0,0
0.6240357,0,0,0,0,0,0,0,0,0
0.6380365,0,0,0,0,0,0,0,0,0
0.6510373,0,0,0,0,0,0,0,0,0
0.6650381,0,0,0,0,0,0,0,0,0
0.6780388,0,0,0,0,0,0,0,0,0
0.7030403,0,0,0,0,0,0,0,0,0
0.716041,0,0,0,0,0,0,0,0,0
0.7300418,0,0,0,0,0,0,0,0,0
0.7470428,0,0,0,0,0,0,0,0,0
0.7660439,0,0,0,0,0,0,0,0,0
0.7780445,0,0,0,0,0,0,0,0,0
0.7920453,0,0,0,0,0,0,0,0,0
0.804046,0,0,0,0,0,0,0,0,0
0.8170468,0,0,0,0,0,0,0,0,0
0.8310476,0,0,0,0,0,0,0,0,0
0.8430483,0,0,0,0,0,0,0,0,0
0.8580491,0,0,0,0,0,0,0,0,0
0.8720499,0,0,0,0,0,0,0,0,0
0.8850507,0,0,0,0,0,0,0,0,0
0.8980514,0,0,0,0,0,0,0,0,0
0.9120522,0,0,0,0,0,0,0,0,0
0.9300532,0,0,0,0,0,0,0,0,0
0.9490543,0,0,0,0,0,0,0,0,0
0.9620551,0,0,0,0,0,0,0,0,0
0.9750558,0,0,0,0,0,0,0,0,0
0.9870565,0,0,0,0,0,0,0,0,0
1.0000572,0,0,0,0,0,0,0,0,0
1.014058,0,0,0,0,0,0,0,0,0
1.0270588,0,0,0,0,0,0,0,0,0
1.0400595,0,0,0,0,0,0,0,0,0
1.0530603,0,0,0,0,0,0,0,0,0
1.065061,0,0,0,0,0,0,0,0,0
1.0770616,0,0,0,0,0,0,0,0,0
1.0880623,0,0,0,0,0,0,0,0,0
1.1140638,0,0,0,0,0,0,0,0,0
1.1260645,0,0,0,0,0,0,0,0,0
1.1380651,0,0,0,0,0,0,0,0,0
1.1540661,0,0,0,0,0,0,0,0,0
1.1670668,0,0,0,0,0,0,0,0,0
1.1780674,0,0,0,0,0,0,0,0,0
1.1890681,0,0,0,0,0,0,0,0,0
1.2000687,0,0,0,0,0,0,0,0,0
1.2110693,0,0,0,0,0,0,0,0,0
1.2240701,0,0,0,0,0,0,0,0,0
1.2360707,0,0,0,0,0,0,0,0,0
1.2470714,0,0,0,0,0,0,0,0,0
1.2590721,0,0,0,0,0,0,0,0,0
1.2700727,0,0,0,0,0,0,0,0,0
1.2820734,0,0,0,0,0,0,0,0,0
1.2940741,0,0,0,0,0,0,0,0,0
1.310075,0,0,0,0,0,0,0,0,0
1.3250758,0,0,0,0,0,0,0,0,0
1.3350764,0,0,0,0,0,0,0,0,0
1.3470771,0,0,0,0,0,0,0,0,0
1.3590778,0,0,0,0,0,0,0,0,0
1.3710785,0,0,0,0,0,0,0,0,0
1.3820791,0,0,0,0,0,0,0,0,0
1.3930797,0,0,0,0,0,0,0,0,0
1.4040804,0,0,0,0,0,0,0,0,0
1.415081,0,0,0,0,0,0,0,0,0
1.4280817,0,0,0,0,0,0,0,0,0
1.4390824,0,0,0,0,0,0,0,0,0
1.451083,0,0,0,0,0,0,0,0,0
1.4630837,0,0,0,0,0,0,0,0,0
1.4750844,0,0,0,0,0,0,0,0,0
1.4870851,0,0,0,0,0,0,0,0,0
1.5010859,0,0,0,0,0,0,0,0,0
1.5160868,0,0,0,0,0,0,0,0,0
1.5270874,0,0,0,0,0,0,0,0,0
1.5450884,0,0,0,0,0,0,0,0,0
1.5800904,0,0,0,0,0,0,0,0,0
1.5920911,0,0,0,0,0,0,0,0,0
1.6030917,0,0,0,0,0,0,0,0,0
1.6140924,0,0,0,0,0,0,0,0,0
1.6260931,0,0,0,0,0,0,0,0,0
