time,motorSignalL,motorSignalR,diffEncoderPulseL,diffEncoderPulseR,desiredRotRateL,desiredRotRateL
0.0260167,0,0,0,0,0,0
0.0430295,0,0,0,0,0,0
0.059044,0,0,0,0,0,0
0.096071,0,0,0,0,0,0
0.1160816,0,0,0,0,0,0
0.1361039,0,0,0,0,0,0
0.1521175,0,0,0,0,0,0
0.1681298,0,0,0,0,0,0
0.1841416,0,0,0,0,0,0
0.2081462,0,0,0,0,0,0
0.2241785,0,0,0,0,0,0
0.2401716,0,0,0,0,0,0
0.2571817,0,0,0,0,0,0
0.2872035,0,0,0,0,0,0
0.3052181,0,0,0,0,0,0
0.3242309,0,0,0,0,0,0
0.3402405,0,0,0,0,0,0
0.355251,0,0,0,0,0,0
0.3702637,0,0,0,0,0,0
0.3882903,0,0,0,0,0,0
0.4043048,0,0,0,0,0,0
0.4273223,0,0,0,0,0,0
0.4433145,0,0,0,0,0,0
0.4813419,0,0,0,0,0,0
0.5003566,0,0,0,0,0,0
0.5153813,0,0,0,0,0,0
0.5313771,0,0,0,0,0,0
0.5513966,0,0,0,0,0,0
0.5694184,0,0,0,0,0,0
0.5864258,0,0,0,0,0,0
0.6034466,0,0,0,0,0,0
0.6434768,0,0,0,0,0,0
0.6614843,0,0,0,0,0,0
0.6944928,0,0,0,0,0,0
0.7125092,0,0,0,0,0,0
0.7295308,0,0,0,0,0,0
0.7445288,0,0,0,0,0,0
0.7615402,0,0,0,0,0,0
0.7825554,0,0,0,0,0,0
0.7985672,0,0,0,0,0,0
0.8155969,0,0,0,0,0,0
0.8315927,0,0,0,0,0,0
0.8476018,0,0,0,0,0,0
0.8936346,0,0,0,0,0,0
0.9136586,0,0,0,0,0,0
0.9316799,0,0,0,0,0,0
0.948673,0,0,0,0,0,0
0.9767072,0,0,0,0,0,0
1.0507465,0,0,0,0,0,0
1.1257996,0,0,0,0,0,0
1.1508176,0,0,0,0,0,0
1.1678295,0,0,0,0,0,0
1.1918465,0,0,0,0,0,0
1.2078584,0,0,0,0,0,0
1.2338755,0,0,0,0,0,0
1.2548987,0,0,0,0,0,0
1.2899345,0,0,0,0,0,0
1.3089286,0,0,0,0,0,0
1.3259414,0,0,0,0,0,0
1.3499603,0,0,0,0,0,0
1.3699727,0,0,0,0,0,0
1.3869846,0,0,0,0,0,0
1.4050018,0,0,0,0,0,0
1.4200118,0,0,0,0,0,0
1.4550325,0,0,0,0,0,0
1.4730493,0,0,0,0,0,0
1.4900585,0,0,0,0,0,0
1.509091,0,0,0,0,0,0
1.5410972,0,0,0,0,0,0
1.5691176,0,0,0,0,0,0
1.5881282,0,0,0,0,0,0
1.6051785,0,0,0,0,0,0
1.6191496,0,0,0,0,0,0
1.6391665,0,0,0,0,0,0
1.6611826,0,0,0,0,0,0
1.698206,0,0,0,0,0,0
1.7162206,0,0,0,0,0,0
1.7352348,0,0,0,0,0,0
1.7592536,0,0,0,0,0,0
1.7822711,0,0,0,0,0,0
1.80128,0,0,0,0,0,0
1.8222951,0,0,0,0,0,0
1.8713302,0,0,0,0,0,0
1.8943459,0,0,0,0,0,0
1.9423805,0,0,0,0,0,0
1.9814084,0,0,0,0,0,0
2.0064269,0,0,0,0,0,0
2.0264433,0,0,0,0,0,0
2.0764977,0,0,0,0,0,0
2.1465278,0,0,0,0,0,0
2.1895568,0,0,0,0,0,0
2.2125756,0,0,0,0,0,0
2.2345877,0,0,0,0,0,0
2.2726152,0,0,0,0,0,0
2.3376608,0,0,0,0,0,0
2.3586782,0,0,0,0,0,0
2.3776892,0,0,0,0,0,0
2.3987057,0,0,0,0,0,0
2.4237219,0,0,0,0,0,0
2.4697542,0,0,0,0,0,0
2.5227921,0,0,0,0,0,0
2.5498125,0,0,0,0,0,0
2.5648225,0,0,0,0,0,0
2.5848367,0,0,0,0,0,0
2.6008476,0,0,0,0,0,0
2.6188618,0,0,0,0,0,0
2.6368728,0,0,0,0,0,0
2.6549173,0,0,0,0,0,0
2.6809041,0,0,0,0,0,0
2.7049216,0,0,0,0,0,0
2.720933,0,0,0,0,0,0
2.7379444,0,0,0,0,0,0
2.7559599,0,0,0,0,0,0
2.7739745,0,0,0,0,0,0
2.7909823,0,0,0,0,0,0
2.8079951,0,0,0,0,0,0
2.8260191,0,0,0,0,0,0
2.8410201,0,0,0,0,0,0
2.8790614,0,0,0,0,0,0
2.9200739,0,0,0,0,0,0
2.9361044,0,0,0,0,0,0
2.9541021,0,0,0,0,0,0
2.9761347,0,0,0,0,0,0
2.9971311,0,0,0,0,0,0
3.0141497,0,0,0,0,0,0
3.0311539,0,0,0,0,0,0
3.0591939,0,0,0,0,0,0
3.0751857,0,0,0,0,0,0
3.1012037,0,0,0,0,0,0
3.1182227,0,0,0,0,0,0
3.1372284,0,0,0,0,0,0
3.1542408,0,0,0,0,0,0
3.1742603,0,0,0,0,0,0
3.1972881,0,0,0,0,0,0
3.2302988,0,0,0,0,0,0
3.2663222,0,0,0,0,0,0
3.3233625,0,0,0,0,0,0
3.3633928,0,0,0,0,0,0
3.3824034,0,0,0,0,0,0
3.4034181,0,0,0,0,0,0
3.4224359,0,0,0,0,0,0
3.4464498,0,0,0,0,0,0
3.4694673,0,0,0,0,0,0
3.4915026,0,0,0,0,0,0
3.5325105,0,0,0,0,0,0
3.5815465,0,0,0,0,0,0
3.6015723,0,0,0,0,0,0
3.6235951,0,0,0,0,0,0
3.6425888,0,0,0,0,0,0
3.6746303,0,0,0,0,0,0
3.7226457,0,0,0,0,0,0
3.7486642,0,0,0,0,0,0
3.7686847,0,0,0,0,0,0
3.7876948,0,0,0,0,0,0
3.8067045,0,0,0,0,0,0
3.8277206,0,0,0,0,0,0
3.846733,0,0,0,0,0,0
3.9027777,0,0,0,0,0,0
3.9228071,0,0,0,0,0,0
3.957826,0,0,0,0,0,0
4.0198607,0,0,0,0,0,0
4.0548818,0,0,0,0,0,0
4.083921,0,0,0,0,0,0
4.1039183,0,0,0,0,0,0
4.1589558,0,0,0,0,0,0
4.1889767,0,0,0,0,0,0
4.2139938,0,0,0,0,0,0
4.2380305,0,0,0,0,0,0
4.2780407,0,0,0,0,0,0
4.3560962,0,0,0,0,0,0
4.3791119,0,0,0,0,0,0
4.3991457,0,0,0,0,0,0
4.4211453,0,0,0,0,0,0
4.4421565,0,0,0,0,0,0
4.4641761,0,0,0,0,0,0
4.4931938,0,0,0,0,0,0
4.5402297,0,0,0,0,0,0
4.5792541,0,0,0,0,0,0
4.5992715,0,0,0,0,0,0
4.6222845,0,0,0,0,0,0
4.6513071,0,0,0,0,0,0
4.6953362,0,0,0,0,0,0
4.7473759,0,0,0,0,0,0
4.7844006,0,0,0,0,0,0
4.8174234,0,0,0,0,0,0
4.8384413,0,0,0,0,0,0
4.8574519,0,0,0,0,0,0
4.9104898,0,0,0,0,0,0
4.9595271,0,0,0,0,0,0
4.9815436,0,0,0,0,0,0
5.0015579,0,0,0,0,0,0
5.0245704,0,0,0,0,0,0
5.0485889,0,0,0,0,0,0
5.0716036,0,0,0,0,0,0
5.101625,0,0,0,0,0,0
5.1216392,0,0,0,0,0,0
5.1786831,0,0,0,0,0,0
5.1996978,0,0,0,0,0,0
5.2197272,0,0,0,0,0,0
5.2397254,0,0,0,0,0,0
5.2717664,0,0,0,0,0,0
5.3247843,0,0,0,0,0,0
5.3808237,0,0,0,0,0,0
5.4028402,0,5000,0,0,0,0
5.4218548,0,5000,0,0,0,0
5.4428705,0,5000,0,0,0,0
5.4598819,0,5000,0,0,0,0
5.4929038,0,5000,0,0,0,0
5.5259266,0,5000,0,0,0,0
5.5479427,0,5000,0,0,0,0
5.5679618,0,5000,0,0,0,0
5.5859711,0,5000,0,0,0,0
5.6069844,0,5000,0,0,0,0
5.6280192,0,5000,0,0,0,0
5.6500326,0,5000,0,0,0,0
5.6710326,0,5000,0,0,0,0
5.7070547,0,5000,0,0,0,0
5.7390823,0,5000,0,0,0,0
5.7600962,0,5000,0,0,0,0
5.7811095,0,5000,0,0,0,0
5.8011255,0,5000,0,0,0,0
5.8211389,0,5000,0,0,0,0
5.838149,0,5000,0,0,0,0
6.0072707,0,5000,-179,106,0,0
6.0272827,0,5000,-58,35,0,0
6.0493028,0,5000,0,0,0,0
6.0853258,0,5000,0,0,0,0
6.1433876,0,5000,-57,35,0,0
6.1633795,0,5000,0,0,0,0
6.1813927,0,5000,0,0,0,0
6.202411,0,5000,0,0,0,0
6.2244226,0,5000,-61,33,0,0
6.241435,0,5000,0,0,0,0
6.2624515,0,5000,0,0,0,0
6.3144898,0,5000,0,0,0,0
6.3455112,0,5000,-59,34,0,0
6.3635222,0,5000,0,0,0,0
6.3835364,0,5000,0,0,0,0
6.4135582,0,5000,-59,37,0,0
6.4325755,0,5000,0,0,0,0
6.4525853,0,5000,0,0,0,0
6.484608,0,5000,0,0,0,0
6.5576606,0,5000,0,0,0,0
6.5866828,0,5000,-59,37,0,0
6.6107146,0,5000,-61,38,0,0
6.6307132,0,5000,0,0,0,0
6.6507261,0,5000,0,0,0,0
6.669743,0,5000,0,0,0,0
6.690772,0,5000,0,0,0,0
6.7568011,0,5000,0,0,0,0
6.7748148,0,5000,0,0,0,0
6.7928307,0,5000,0,0,0,0
6.8138423,0,5000,-61,38,0,0
6.8438663,0,5000,0,39,0,0
6.8648788,0,5000,-64,0,0,0
6.9059108,0,5000,0,0,0,0
6.9519422,0,5000,0,0,0,0
6.9749561,0,5000,-63,40,0,0
7.0019809,0,5000,-59,40,0,0
7.0199888,0,5000,0,0,0,0
7.0410035,0,5000,0,0,0,0
7.0620205,0,5000,0,0,0,0
7.0920405,0,5000,0,0,0,0
7.1240628,0,5000,0,0,0,0
7.1630903,0,5000,-59,40,0,0
7.1981181,0,5000,-61,39,0,0
7.2191467,0,5000,0,0,0,0
7.2381622,0,5000,0,0,0,0
7.2581581,0,5000,0,0,0,0
7.2931837,0,5000,0,0,0,0
7.3342175,0,5000,0,0,0,0
7.3542447,0,5000,0,0,0,0
7.3872514,0,5000,-61,39,0,0
7.4132681,0,5000,-61,38,0,0
7.4322823,0,5000,0,0,0,0
7.4532966,0,5000,0,0,0,0
7.4733175,0,5000,0,0,0,0
7.4943269,0,5000,0,0,0,0
7.6324255,0,5000,0,0,0,0
7.7094787,0,5000,-63,41,0,0
7.7905361,0,5000,-62,38,0,0
7.8125517,0,5000,-124,76,0,0
7.8325673,0,5000,0,0,0,0
7.8525806,0,5000,0,0,0,0
7.8715975,0,5000,0,0,0,0
7.9006353,0,5000,0,0,0,0
7.9356493,0,5000,0,0,0,0
7.953679,0,5000,0,0,0,0
7.9736852,0,5000,0,0,0,0
7.9936928,0,5000,0,0,0,0
8.0126949,0,5000,0,0,0,0
8.0297063,0,5000,0,0,0,0
8.0567266,0,5000,0,0,0,0
8.0787414,0,5000,0,0,0,0
8.1207838,0,5000,0,0,0,0
8.1397846,0,5000,0,0,0,0
8.1577996,0,5000,0,0,0,0
8.1768236,0,5000,0,0,0,0
8.1948337,0,5000,0,0,0,0
8.2208437,0,5000,-60,38,0,0
8.2468622,0,5000,-60,40,0,0
8.263875,0,5000,0,0,0,0
8.3339297,0,5000,-60,38,0,0
8.3659453,0,5000,-59,37,0,0
8.3919634,0,5000,-29,15,0,0
8.4129803,0,5000,-13,8,0,0
8.4299917,0,5000,0,0,0,0
8.4480072,0,5000,0,0,0,0
8.4680179,0,5000,0,0,0,0
8.4940569,0,5000,0,0,0,0
8.5340742,0,5000,-5,0,0,0
8.5590891,0,5000,0,0,0,0
8.5771166,0,5000,0,0,0,0
8.5951089,0,5000,0,0,0,0
8.6171254,0,5000,0,0,0,0
8.6371584,0,5000,0,0,0,0
8.6541529,0,5000,0,0,0,0
8.6741644,0,5000,0,0,0,0
8.6941947,0,5000,0,0,0,0
8.7221985,0,5000,0,0,0,0
8.7632485,0,5000,0,0,0,0
8.7792398,0,5000,0,0,0,0
8.7972709,0,5000,0,0,0,0
8.8162676,0,5000,0,0,0,0
8.834297,0,5000,0,0,0,0
8.8542924,0,5000,0,0,0,0
8.8803118,0,5000,0,0,0,0
8.9113328,0,5000,0,0,0,0
8.9323497,0,5000,0,0,0,0
8.9613893,0,5000,0,0,0,0
8.9793816,0,5000,0,0,0,0
8.9994007,0,5000,0,0,0,0
9.0164099,0,5000,0,0,0,0
9.0354219,0,5000,0,0,0,0
9.0524368,0,5000,0,0,0,0
9.0704474,0,5000,0,0,0,0
9.0964704,0,5000,0,0,0,0
9.1244854,0,5000,0,0,0,0
9.1424986,0,5000,0,0,0,0
9.1665184,0,5000,0,0,0,0
9.1835298,0,5000,0,0,0,0
9.2015471,0,5000,0,0,0,0
9.2195666,0,5000,0,0,0,0
9.2395683,0,5000,0,0,0,0
9.255577,0,5000,0,0,0,0
9.2755948,0,5000,0,0,0,0
9.3216253,0,5000,0,0,0,0
9.3406381,0,5000,0,0,0,0
9.3676571,0,5000,0,0,0,0
9.3836685,0,5000,0,0,0,0
9.4016996,0,5000,0,0,0,0
9.4197044,0,5000,0,0,0,0
9.4397124,0,5000,0,0,0,0
9.4567215,0,5000,0,0,0,0
9.476738,0,5000,0,0,0,0
9.5137717,0,5000,0,0,0,0
9.5337752,0,5000,0,0,0,0
9.5748064,0,5000,0,0,0,0
9.5948184,0,5000,0,0,0,0
9.6138379,0,5000,0,0,0,0
9.631848,0,5000,0,0,0,0
9.6508586,0,5000,0,0,0,0
9.6758945,0,5000,0,0,0,0
9.7048984,0,5000,0,0,0,0
9.7279168,0,5000,0,0,0,0
9.7589377,0,5000,0,0,0,0
9.779952,0,5000,0,0,0,0
9.8009685,0,5000,0,0,0,0
9.8219805,0,5000,0,0,0,0
9.8400103,0,5000,0,0,0,0
9.8590102,0,5000,0,0,0,0
9.888027,0,5000,0,0,0,0
9.9180488,0,5000,0,0,0,0
9.9400658,0,5000,0,0,0,0
9.9681044,0,5000,0,0,0,0
9.9880986,0,5000,0,0,0,0
10.0071114,0,5000,0,0,0,0
10.0291284,0,5000,0,0,0,0
10.0481417,0,5000,0,0,0,0
10.0721588,0,5000,0,0,0,0
10.1041824,0,5000,0,0,0,0
10.1251958,0,5000,0,0,0,0
10.1462132,0,5000,0,0,0,0
10.1672279,0,5000,0,0,0,0
10.1872417,0,5000,0,0,0,0
10.2092582,0,5000,0,0,0,0
10.2312726,0,5000,0,0,0,0
10.249288,0,5000,0,0,0,0
10.2713327,0,5000,0,0,0,0
10.3073253,0,5000,0,0,0,0
10.3303419,0,5000,0,0,0,0
10.3503588,0,5000,0,0,0,0
10.3763951,0,5000,0,0,0,0
10.3983902,0,5000,0,0,0,0
10.4154057,0,5000,0,0,0,0
10.4354199,0,5000,0,0,0,0
10.4554328,0,5000,0,0,0,0
10.4814522,0,5000,0,0,0,0
10.5124731,0,5000,0,0,0,0
10.5314873,0,5000,0,0,0,0
10.5505001,0,5000,0,0,0,0
10.5935314,0,5000,0,0,0,0
10.614547,0,5000,0,0,0,0
10.6325571,0,5000,0,0,0,0
10.6515704,0,5000,0,0,0,0
10.6806122,0,5000,0,0,0,0
10.7076098,0,5000,0,0,0,0
10.7256226,0,5000,0,0,0,0
10.7426372,0,5000,0,0,0,0
10.7606491,0,5000,0,0,0,0
10.7836911,0,5000,0,0,0,0
10.8036799,0,5000,0,0,0,0
10.8216945,0,5000,0,0,0,0
10.8397055,0,5000,0,0,0,0
10.8587255,0,5000,0,0,0,0
10.8767302,0,5000,0,0,0,0
10.8967449,0,5000,0,0,0,0
10.9277663,0,5000,0,0,0,0
10.9517834,0,5000,0,0,0,0
10.9908136,0,5000,0,0,0,0
11.0098246,0,5000,0,0,0,0
11.0308416,0,5000,0,0,0,0
11.048853,0,5000,0,0,0,0
