time,motorSignalL,motorSignalR,diffEncoderPulseL,diffEncoderPulseR,desiredRotRateL,desiredRotRateL
0.0330224,0,0,0,0,0,50
0.0790515,0,0,0,0,0,50
0.1591075,0,0,0,0,0,50
0.2261554,0,0,0,0,0,50
0.2639085,0,0,0,0,0,50
0.2944323,0,0,0,0,0,50
0.3094811,0,0,0,0,0,50
0.3265064,0,0,0,0,0,50
0.3595113,0,0,0,0,0,50
0.378525,0,0,0,0,0,50
0.3975388,0,0,0,0,0,50
0.4145734,0,0,0,0,0,50
0.4305638,0,0,0,0,0,50
0.4585815,0,0,0,0,0,50
0.4776046,0,0,0,0,0,50
0.4936071,0,0,0,0,0,50
0.5126204,0,0,0,0,0,50
0.5406398,0,0,0,0,0,50
0.5626568,0,0,0,0,0,50
0.5776664,0,0,0,0,0,50
0.5946965,0,0,0,0,0,50
0.6116906,0,0,0,0,0,50
0.6287029,0,0,0,0,0,50
0.660727,0,0,0,0,0,50
0.6767366,0,0,0,0,0,50
0.6977558,0,0,0,0,0,50
0.7147823,16383,10683,0,0,0,50
0.7587949,16383,9213,0,0,0,50
0.7768082,16383,9213,0,0,0,50
0.7938196,16383,9213,0,0,0,50
0.8118511,16383,9213,0,0,0,50
0.8298456,16383,9213,0,0,0,50
0.8648703,16383,9213,0,0,0,50
0.8808817,16369,9267,1,6,0,50
0.8988981,16381,9198,0,0,0,50
0.9169176,16379,9213,0,0,0,50
0.93192,16379,9213,0,0,0,50
0.9529525,16379,9213,0,0,0,50
1.0069713,16380,9294,0,9,0,50
1.0309893,16380,9190,0,0,0,50
1.0750201,16380,9321,0,12,0,50
1.0930338,16380,9183,0,0,0,50
1.1130472,16381,9213,0,0,0,50
1.13106,16381,9213,0,0,0,50
1.1540792,16381,9213,0,0,0,50
1.2051121,16367,9339,1,14,0,50
1.22613,16379,9178,0,0,0,50
1.244145,16377,9213,0,0,0,50
1.2932609,16378,9213,0,0,0,50
1.3132751,16378,9348,0,15,0,50
1.3343148,16379,9175,0,0,0,50
1.355305,16379,9213,0,0,0,50
1.3823235,16379,9213,0,0,0,50
1.4043392,16380,9213,0,0,0,50
1.4333596,16380,9339,0,14,0,50
1.4573762,16380,9178,0,0,0,50
1.4763917,16381,9213,0,0,0,50
1.4944067,16381,9213,0,0,0,50
1.5184216,16381,9348,0,15,0,50
1.5384345,16381,9175,0,0,0,50
1.5754624,16381,9213,0,0,0,50
1.6004955,16381,9339,0,14,0,50
1.6174909,16381,9178,0,0,0,50
1.6345045,16382,9213,0,0,0,50
1.6655241,16382,9213,0,0,0,50
1.6865509,16368,9339,1,14,0,50
1.7035588,16380,9178,0,0,0,50
1.7225654,16378,9213,0,0,0,50
1.7405777,16378,9213,0,0,0,50
1.7675994,16379,9213,0,0,0,50
1.7856095,16379,9213,0,0,0,50
1.8046411,16379,9213,0,0,0,50
1.8246375,16380,9339,0,14,0,50
1.8456553,16380,9178,0,0,0,50
1.8636766,16380,9213,0,0,0,50
1.8947073,16381,9330,0,13,0,50
1.9147117,16381,9180,0,0,0,50
1.9337384,16381,9213,0,0,0,50
1.965738,16381,9213,0,0,0,50
1.9937579,16381,9330,0,13,0,50
2.0117894,16381,9180,0,0,0,50
2.0277821,16381,9213,0,0,0,50
2.0458123,16382,9213,0,0,0,50
2.083842,16382,9213,0,0,0,50
2.1038549,16382,9330,0,13,0,50
2.121849,16382,9180,0,0,0,50
2.1598769,16382,9213,0,0,0,50
2.1808907,16382,9213,0,0,0,50
2.2139144,16382,9330,0,13,0,50
2.2309263,16382,9180,0,0,0,50
2.2489556,16382,9213,0,0,0,50
2.2679537,16382,9213,0,0,0,50
2.2959727,16382,9348,0,15,0,50
2.3159869,16382,9175,0,0,0,50
2.3350025,16382,9213,0,0,0,50
2.3670239,16382,9213,0,0,0,50
2.3850443,16382,9213,0,0,0,50
2.4050505,16382,9213,0,0,0,50
2.421061,16382,9213,0,0,0,50
2.4430771,16382,9213,0,0,0,50
2.4600898,16382,9213,0,0,0,50
2.486119,16382,9213,0,0,0,50
2.502121,16382,9213,0,0,0,50
2.5201504,16382,9213,0,0,0,50
2.560161,16382,9213,0,0,0,50
2.5831793,16382,9213,0,0,0,50
2.6112041,16369,9357,1,16,0,50
2.6412179,16381,9335,0,18,0,50
2.6692396,16378,9321,0,17,0,50
2.6932549,16379,9170,0,0,0,50
2.7222762,16379,9366,0,17,0,50
2.754299,16380,9170,0,0,0,50
2.7763275,16380,9213,0,0,0,50
2.7983298,16380,9357,0,16,0,50
2.817344,16380,9173,0,0,0,50
2.8353577,16381,9213,0,0,0,50
2.8533718,16381,9213,0,0,0,50
2.8723824,16381,9213,0,0,0,50
2.8913957,16381,9213,0,0,0,50
2.9094126,16381,9213,0,0,0,50
2.9294228,16381,9213,0,0,0,50
2.9624465,16381,9213,0,0,0,50
2.9954777,16382,9357,0,16,0,50
3.0154866,16382,9308,0,15,0,50
3.0355008,16382,9175,0,0,0,50
3.0585143,16382,9213,0,0,0,50
3.1185784,16382,9213,0,0,0,50
3.1605877,16382,9213,0,0,0,50
3.1796086,16382,9213,0,0,0,50
3.1986139,16382,9348,0,15,0,50
3.2156289,16382,9175,0,0,0,50
3.2586566,16382,9339,0,14,0,50
3.2786712,16382,9295,0,13,0,50
3.2996873,16382,9180,0,0,0,50
3.31873,16382,9213,0,0,0,50
