time,motorSignalL,motorSignalR,diffEncoderPulseL,diffEncoderPulseR,desiredRotRateL,desiredRotRateL
0.0040051,0,0,0,0,0,0
0.0200142,0,0,0,0,0,0
0.0350278,0,0,0,0,0,0
0.0490382,0,0,0,0,0,0
0.0640455,0,0,0,0,0,0
0.0930686,0,0,0,0,0,0
0.1290942,0,0,0,0,0,0
0.1461061,0,0,0,0,0,0
0.1661185,0,0,0,0,0,0
0.1811294,0,0,0,0,0,0
0.1991592,0,0,0,0,0,0
0.2151612,0,0,0,0,0,0
0.2321646,0,0,0,0,0,0
0.2481764,0,0,0,0,0,0
0.2671919,0,0,0,0,0,0
0.2862061,0,0,0,0,0,0
0.3312356,0,0,0,0,0,0
0.3532517,0,0,0,0,0,0
0.3712886,0,0,0,0,0,0
0.3872773,0,0,0,0,0,0
0.4042882,0,0,0,0,0,0
0.4203014,0,0,0,0,0,0
0.4363101,0,0,0,0,0,0
0.453334,0,0,0,0,0,0
0.4683347,0,0,0,0,0,0
0.4863488,0,0,0,0,0,0
0.5013566,0,0,0,0,0,0
0.5393832,0,0,0,0,0,0
0.5583987,0,0,0,0,0,0
0.5734243,0,0,0,0,0,0
0.592422,0,0,0,0,0,0
0.6084517,0,0,0,0,0,0
0.625468,0,0,0,0,0,0
0.6444616,0,0,0,0,0,0
0.6604699,0,0,0,0,0,0
0.7004997,0,0,0,0,0,0
0.715528,0,0,0,0,0,0
0.743543,0,0,0,0,0,0
0.7635456,0,0,0,0,0,0
0.7805557,0,0,0,0,0,0
0.7995685,0,0,0,0,0,0
0.8155978,0,0,0,0,0,0
0.8395966,0,0,0,0,0,0
0.8556262,0,0,0,0,0,0
0.8806259,0,0,0,0,0,0
0.9116496,0,0,0,0,0,0
0.9306749,0,0,0,0,0,0
0.9466898,0,0,0,0,0,0
0.9626843,0,0,0,0,0,0
0.9796966,0,0,0,0,0,0
1.009738,0,0,0,0,0,0
1.0347382,0,0,0,0,0,0
1.0517505,0,0,0,0,0,0
1.0677592,0,0,0,0,0,0
1.0847907,0,0,0,0,0,0
1.1028017,0,0,0,0,0,0
1.1358174,0,0,0,0,0,0
1.1548231,0,0,0,0,0,0
1.1718323,0,0,0,0,0,0
1.189846,0,0,0,0,0,0
1.2108638,0,0,0,0,0,0
1.2329009,0,0,0,0,0,0
1.2478868,0,0,0,0,0,0
1.2638986,0,0,0,0,0,0
1.27991,0,0,0,0,0,0
1.3029275,0,0,0,0,0,0
1.3519826,0,0,0,0,0,0
1.3690101,0,0,0,0,0,0
1.3850335,0,0,0,0,0,0
1.4020472,0,0,0,0,0,0
1.4190475,0,0,0,0,0,0
1.4390545,0,0,0,0,0,0
1.4550664,0,0,0,0,0,0
1.4720965,0,0,0,0,0,0
1.4890906,0,0,0,0,0,0
1.5061055,0,0,0,0,0,0
1.5511342,0,0,0,0,0,0
1.5771531,0,0,0,0,0,0
1.5951838,0,0,0,0,0,0
1.6151811,0,0,0,0,0,0
1.6331939,0,0,0,0,0,0
1.6522063,0,0,0,0,0,0
1.6692199,0,0,0,0,0,0
1.6852309,0,0,0,0,0,0
1.7142504,0,0,0,0,0,0
1.7432703,0,0,0,0,0,0
1.7582812,0,0,0,0,0,0
1.7762958,0,0,0,0,0,0
1.7953082,0,0,0,0,0,0
1.8203262,0,0,0,0,0,0
