time,motorSignalL,motorSignalR,diffEncoderPulseL,diffEncoderPulseR,desiredRotRateL,desiredRotRateL
0.0030028,0,0,0,0,-349,-349
0.021016,0,0,0,0,-349,-349
0.0360273,0,0,0,0,-349,-349
0.0530414,0,0,0,0,-349,-349
0.0720543,0,0,0,0,-349,-349
0.0880679,0,0,0,0,-349,-349
0.1040739,0,0,0,0,-349,-349
0.1201044,0,0,0,0,-349,-349
0.1371007,0,0,0,0,-349,-349
0.152108,0,0,0,0,-349,-349
0.1691243,0,0,0,0,-349,-349
0.1931378,0,0,0,0,-349,-349
0.2081509,0,0,0,0,-349,-349
0.2251793,0,0,0,0,-349,-349
0.245194,0,0,0,0,-349,-349
0.2601897,0,0,0,0,-349,-349
0.275197,0,0,0,0,-349,-349
0.2942103,0,0,0,0,-349,-349
0.3102212,0,0,0,0,-349,-349
0.3272416,0,0,0,0,-349,-349
0.3432476,0,0,0,0,-349,-349
0.3592616,0,0,0,0,-349,-349
0.3782713,0,0,0,0,-349,-349
0.3932795,0,0,0,0,-349,-349
0.4102923,0,0,0,0,-349,-349
0.4263055,0,0,0,0,-349,-349
0.4423258,0,0,0,0,-349,-349
0.4633298,0,0,0,0,-349,-349
0.4833623,0,0,0,0,-349,-349
0.5003585,0,0,0,0,-349,-349
0.5163677,0,0,0,0,-349,-349
0.5583997,0,0,0,0,-349,-349
0.5764224,0,0,0,0,-349,-349
0.5934226,0,0,0,0,-349,-349
0.6134578,0,0,0,0,-349,-349
0.6294495,0,0,0,0,-349,-349
0.64446,0,0,0,0,-349,-349
0.6644796,0,0,0,0,-349,-349
0.684488,0,0,0,0,-349,-349
0.7014989,0,0,0,0,-349,-349
0.7185104,0,0,0,0,-349,-349
0.7355253,0,0,0,0,-349,-349
0.7525515,0,0,0,0,-349,-349
0.767545,0,0,0,0,-349,-349
0.7855587,0,0,0,0,-349,-349
0.8105789,0,0,0,0,-349,-349
0.826588,0,0,0,0,-349,-349
0.8446205,0,0,0,0,-349,-349
0.8606287,0,0,0,0,-349,-349
0.8766236,0,0,0,0,-349,-349
0.8926336,0,0,0,0,-349,-349
0.9096464,0,0,0,0,-349,-349
0.9266654,0,0,0,0,-349,-349
0.9426727,0,0,0,0,-349,-349
0.9706913,0,0,0,0,-349,-349
0.9867031,0,0,0,0,-349,-349
1.0037132,0,0,0,0,-349,-349
1.0207259,0,0,0,0,-349,-349
1.0457453,0,0,0,0,-349,-349
1.0617575,0,0,0,0,-349,-349
1.0797859,0,0,0,0,-349,-349
1.0967826,0,0,0,0,-349,-349
1.1147954,0,0,0,0,-349,-349
1.1328064,0,0,0,0,-349,-349
1.1488165,0,0,0,0,-349,-349
1.1668293,0,0,0,0,-349,-349
1.184847,0,0,0,0,-349,-349
1.2018727,0,0,0,0,-349,-349
1.2188694,0,0,0,0,-349,-349
1.2358785,0,0,0,0,-349,-349
1.2598969,0,0,0,0,-349,-349
1.3089347,0,0,0,0,-349,-349
1.3289636,0,0,0,0,-349,-349
1.3669723,0,0,0,0,-349,-349
1.3919939,0,0,0,0,-349,-349
1.4110076,0,0,0,0,-349,-349
1.4420446,0,0,0,0,-349,-349
1.4630401,0,0,0,0,-349,-349
1.4850754,0,0,0,0,-349,-349
1.5040726,0,0,0,0,-349,-349
1.5250963,0,0,0,0,-349,-349
1.5671145,0,0,0,0,-349,-349
1.5901324,0,0,0,0,-349,-349
1.6131557,0,0,0,0,-349,-349
1.6341744,0,0,0,0,-349,-349
1.6531779,0,0,0,0,-349,-349
1.6722077,0,0,0,0,-349,-349
1.6952046,0,0,0,0,-349,-349
1.7232259,0,0,0,0,-349,-349
1.7422588,0,0,0,0,-349,-349
1.7582514,0,0,0,0,-349,-349
1.7752865,0,0,0,0,-349,-349
1.7942859,0,0,0,0,-349,-349
1.8112902,0,0,0,0,-349,-349
1.8533165,16383,11383,0,0,0,-106
1.8713302,16383,11383,0,0,0,-106
1.8893448,16383,11383,0,0,0,-106
1.9093866,16383,11383,0,0,0,-106
1.9263807,16383,11383,0,0,0,-106
1.9513884,16383,11383,0,0,0,-106
1.9714008,16383,11383,0,0,0,-106
1.9884149,16383,11383,0,0,0,-106
2.0154317,16383,11383,0,0,0,-106
2.0334476,16383,11383,0,0,0,-106
2.0514604,16383,11383,0,0,0,-106
2.06947,16383,11383,0,4,0,-106
2.0904852,16383,11383,0,0,0,-106
2.1095163,16383,11383,0,0,0,-106
2.1325351,16383,11383,0,5,0,-106
2.1555477,16383,11383,0,0,0,-106
2.1735444,16383,11383,0,0,0,-106
2.1905563,16383,11383,0,0,0,-106
2.2105723,16383,11383,0,0,0,-106
2.2285873,16383,11383,0,0,0,-106
2.248598,16383,11383,0,0,0,-106
2.2666438,16383,11383,0,0,0,-106
2.2866433,16383,11383,-1,8,0,-106
2.3076401,16383,11383,0,0,0,-106
2.3246533,16383,11383,0,0,0,-106
2.357677,16383,11383,-1,11,0,-106
2.3786935,16383,11383,0,0,0,-106
2.3977068,16383,11383,0,0,0,-106
2.4447391,16383,11383,0,0,0,-106
2.5117883,16383,11383,-2,13,0,-106
2.5338043,16383,11383,0,0,0,-106
2.5608202,16383,11383,0,0,0,-106
2.5868592,16383,11383,0,0,0,-106
2.641878,16383,11383,-1,14,0,-106
2.6829065,16383,11383,-1,17,0,-106
2.7139283,16383,11383,0,0,0,-106
2.7429487,16383,11383,0,0,0,-106
2.7619637,16383,11383,0,0,0,-106
2.785979,16383,11383,-2,18,0,-106
2.8029918,16383,11383,0,0,0,-106
2.822006,16383,11383,0,0,0,-106
2.8420193,16383,11383,0,0,0,-106
2.8610495,16383,11383,0,0,0,-106
2.8790458,16383,11383,0,0,0,-106
2.8980591,16383,11383,0,0,0,-106
2.9150736,16383,11383,0,0,0,-106
2.9350852,16383,11383,0,0,0,-106
2.9561012,16383,11383,0,0,0,-106
2.9791173,16383,11383,0,0,0,-106
2.9981485,16383,11383,0,0,0,-106
3.0181475,16383,11383,0,0,0,-106
3.0371577,16383,11383,0,0,0,-106
3.0551709,16383,11383,0,0,0,-106
