time,motorSignalL,motorSignalR,diffEncoderPulseL,diffEncoderPulseR,desiredRotRateL,desiredRotRateL
0.0060034,0,0,0,0,-349,-349
0.0220148,0,0,0,0,-349,-349
0.0370418,0,0,0,0,-349,-349
0.0700485,0,0,0,0,-349,-349
0.109089,0,0,0,0,-349,-349
0.1240869,0,0,0,0,-349,-349
0.1391085,0,0,0,0,-349,-349
0.1631144,0,0,0,0,-349,-349
0.1801299,0,0,0,0,-349,-349
0.1961408,0,0,0,0,-349,-349
0.2111521,0,0,0,0,-349,-349
0.2281636,0,0,0,0,-349,-349
0.2581862,0,0,0,0,-349,-349
0.2902077,0,0,0,0,-349,-349
0.3082182,0,0,0,0,-349,-349
0.3222295,0,0,0,0,-349,-349
0.3402406,0,0,0,0,-349,-349
0.3552555,0,0,0,0,-349,-349
0.3712651,0,0,0,0,-349,-349
0.3892752,0,0,0,0,-349,-349
0.4052892,0,0,0,0,-349,-349
0.4243034,0,0,0,0,-349,-349
0.4403117,0,0,0,0,-349,-349
0.4563235,0,0,0,0,-349,-349
0.4815477,0,0,0,0,-349,-349
0.5126771,0,0,0,0,-349,-349
0.5296947,0,0,0,0,-349,-349
0.5477013,0,0,0,0,-349,-349
0.5617331,0,0,0,0,-349,-349
0.5817264,0,0,0,0,-349,-349
0.5997436,0,0,0,0,-349,-349
0.6167501,0,0,0,0,-349,-349
0.6317887,0,0,0,0,-349,-349
0.648801,0,0,0,0,-349,-349
0.6658165,0,0,0,0,-349,-349
0.6998371,0,0,0,0,-349,-349
0.7238564,0,0,0,0,-349,-349
0.74087,0,0,0,0,-349,-349
0.7589275,0,0,0,0,-349,-349
0.7749299,0,0,0,0,-349,-349
0.7909417,0,0,0,0,-349,-349
0.8069589,0,0,0,0,-349,-349
0.8219832,0,0,0,0,-349,-349
0.8389754,0,0,0,0,-349,-349
0.8539877,0,0,0,0,-349,-349
0.8920138,0,0,0,0,-349,-349
0.9120249,0,0,0,0,-349,-349
0.9300399,0,0,0,0,-349,-349
0.9450486,0,0,0,0,-349,-349
0.9600595,0,0,0,0,-349,-349
0.9750731,0,0,0,0,-349,-349
0.9920827,0,0,0,0,-349,-349
1.0070932,0,0,0,0,-349,-349
1.0251073,0,0,0,0,-349,-349
1.0431192,0,0,0,0,-349,-349
1.0611316,0,0,0,0,-349,-349
1.1151704,0,0,0,0,-349,-349
1.1352007,0,0,0,0,-349,-349
1.1521961,0,0,0,0,-349,-349
1.1742126,0,0,0,0,-349,-349
1.1962617,0,0,0,0,-349,-349
1.2112896,0,0,0,0,-349,-349
1.2312935,0,0,0,0,-349,-349
1.2562995,0,0,0,0,-349,-349
1.2863231,0,0,0,0,-349,-349
1.3033385,0,0,0,0,-349,-349
1.3203557,0,0,0,0,-349,-349
1.3363564,0,0,0,0,-349,-349
1.3553697,0,0,0,0,-349,-349
1.3783885,0,0,0,0,-349,-349
1.3944061,0,0,0,0,-349,-349
1.41141,0,0,0,0,-349,-349
1.428425,0,0,0,0,-349,-349
1.4434345,0,0,0,0,-349,-349
1.4584436,0,0,0,0,-349,-349
1.476456,0,0,0,0,-349,-349
1.5134825,0,0,0,0,-349,-349
1.5365014,0,0,0,0,-349,-349
1.5555289,0,0,0,0,-349,-349
1.5835323,0,0,0,0,-349,-349
1.6005469,0,0,0,0,-349,-349
1.6185597,0,0,0,0,-349,-349
1.6355693,0,0,0,0,-349,-349
1.6615892,0,0,0,0,-349,-349
1.7066214,16383,3383,0,0,0,-277
1.7256342,16383,3383,0,0,0,-277
1.7436461,16383,3383,0,0,0,-277
1.7616607,16383,3383,0,0,0,-277
1.7786722,16383,3383,0,0,0,-277
1.7966836,16383,3383,0,0,0,-277
1.8156969,16383,3383,0,0,0,-277
1.8317101,16383,3383,0,0,0,-277
1.8527261,16383,3383,0,0,0,-277
1.8947645,16383,3383,0,0,0,-277
2.0108363,16383,3383,0,15,0,-277
2.0358538,16383,3383,0,23,0,-277
2.0548703,16383,3383,0,0,0,-277
2.0878926,16383,3383,0,0,0,-277
2.1289358,16383,3383,0,29,0,-277
2.1469339,16383,3383,1,0,0,-277
2.1640904,16383,3383,0,0,0,-277
2.1822272,16383,3383,0,0,0,-277
2.2022419,16383,3383,0,30,0,-277
2.2232562,16383,3383,0,0,0,-277
2.2412864,16383,3383,0,0,0,-277
2.2693041,16383,3383,0,0,0,-277
2.2883031,16383,3383,0,0,0,-277
2.3113174,16383,3383,0,0,0,-277
2.3333331,16383,3383,1,34,0,-277
2.3543514,16383,3383,0,0,0,-277
2.3723642,16383,3383,0,0,0,-277
2.3923753,16383,3383,0,0,0,-277
2.4193947,16383,3383,0,37,0,-277
2.4394089,16383,3383,0,0,0,-277
2.4594232,16383,3383,0,0,0,-277
2.5114597,16383,3383,0,38,0,-277
2.5314735,16383,3383,0,0,0,-277
2.5564924,16383,3383,0,0,0,-277
2.5895147,16383,3383,0,39,0,-277
2.6115308,16383,3383,0,0,0,-277
2.6285454,16383,3383,0,0,0,-277
2.6465573,16383,3383,0,0,0,-277
2.6645719,16383,3383,0,0,0,-277
2.7096005,16383,3383,0,41,0,-277
2.7426251,16383,3383,0,0,0,-277
2.7746483,16383,3383,0,42,0,-277
2.7946608,16383,3383,0,0,0,-277
2.8116731,16383,3383,0,0,0,-277
2.8306904,16383,3383,0,0,0,-277
2.8507015,16383,3383,0,0,0,-277
2.8767209,16383,3383,0,0,0,-277
2.8987446,16383,3383,0,41,0,-277
2.9167498,16383,3383,0,0,0,-277
2.935764,16383,3383,0,0,0,-277
2.95678,16383,3383,0,0,0,-277
2.9757929,16383,3383,0,0,0,-277
2.9938271,16383,3383,0,0,0,-277
3.0178196,16383,3383,0,42,0,-277
3.0398353,16383,3383,0,0,0,-277
3.0568489,16383,3383,0,0,0,-277
3.0768636,16383,3383,0,0,0,-277
3.1309221,16383,3383,0,43,0,-277
3.1489126,16383,3383,0,0,0,-277
3.1719372,16383,3383,0,44,0,-277
