time,x,y,t
0.0070004,0,0,0
0.0190011,0,0,0
0.0300017,0,0,0
0.0410024,0,0,0
0.052003,0,0,0
0.0630036,0,0,0
0.0740042,0,0,0
0.0850049,0,0,0
0.0980056,0,0,0
0.1100063,0,0,0
0.1320076,0,0,0
0.1450083,0,0,0
0.157009,0,0,0
0.1690097,0,0,0
0.1800103,0,0,0
0.1910109,0,0,0
0.2020116,0,0,0
0.2170124,0,0,0
0.2300132,0,0,0
0.2410138,0,0,0
0.2540145,0,0,0
0.2650152,0,0,0
0.2760158,0,0,0
0.2920167,0,0,0
0.3040174,0,0,0
0.315018,0,0,0
0.3260187,0,0,0
0.3370193,0,0,0
0.3480199,0,0,0
0.3590205,0,0,0
0.3710212,0,0,0
0.3940226,0,0,0
0.4070233,0,0,0
0.420024,0,0,0
0.437025,0,0,0
0.4500258,0,0,0
0.4640266,0,0,0
0.4770273,0,0,0
0.507029,0,0,0
0.5190297,0,0,0
0.5300303,0,0,0
0.541031,0,0,0
0.5520316,0,0,0
0.5640323,0,0,0
0.5750329,0,0,0
0.5870336,0,0,0
0.5990343,0,0,0
0.6140351,0,0,0
0.6270359,0,0,0
0.6380365,0,0,0
0.6490371,0,0,0
0.6610378,0,0,0
0.6720385,0,0,0
0.6830391,0,0,0
0.6940397,0,0,0
0.7140409,0,0,0
0.7250415,0,0,0
0.7370422,0,0,0
0.7480428,0,0,0
0.7590434,0,0,0
0.7700441,0,0,0
0.7810447,0,0,0
0.7930454,0,0,0
0.8050461,0,0,0
0.8170467,0,0,0
0.8330477,0,0,0
0.8480485,0,0,0
0.8600492,0,0,0
0.8720499,0,0,0
0.8840506,0,0,0
0.9020516,0,0,0
0.9150524,0,0,0
0.926053,0,0,0
0.9380537,0,0,0
0.9500544,0,0,0
0.9640552,0,0,0
0.9760558,0,0,0
0.9900566,0,0,0
1.0300589,0,0,0
1.0440597,0,0,0
1.0560604,0,0,0
1.0680611,0,0,0
1.0790617,0,0,0
1.0900624,0,0,0
1.101063,0,0,0
1.1130637,0,0,0
1.1260644,0,0,0
1.1370651,0,0,0
1.1490657,0,0,0
1.1600664,0,0,0
1.1720671,0,0,0
1.1830677,0,0,0
1.1940683,0,0,0
1.2090692,0,0,0
1.22307,0,0,0
1.2340706,0,0,0
1.2460713,0,0,0
1.258072,0,0,0
1.2700727,0,0,0
1.2810733,0,0,0
1.294074,0,0,0
1.3090749,0,0,0
1.3200755,0,0,0
1.3330763,0,0,0
1.3440769,0,0,0
1.3570776,0,0,0
1.3690783,0,0,0
1.380079,0,0,0
1.3960799,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.4070805,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.4260816,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.4390823,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.4520831,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.4630837,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.4760844,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.4870851,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.4990858,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.5120865,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.5240872,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.5360879,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.5480886,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.5590892,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.5710899,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.5830906,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.6000915,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.6140923,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.626093,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.6400938,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.6540946,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.6700955,0.013241293660557,-0.000281860979217948,-0.0425665990253684
1.6860965,0.0293820217770164,-0.00151111488791528,-0.109456968922376
1.7010973,0.0526558746535999,-0.00507680050807858,-0.194590166973113
1.7140981,0.0526558746535999,-0.00507680050807858,-0.194590166973113
1.7340992,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.7460999,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.7571005,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.7691012,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.7851021,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.801103,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.8171039,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.835105,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.8491058,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.8621065,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.8751073,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.8901081,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.9041089,0.0783647238489177,-0.0114564781425098,-0.291885250459669
1.9291104,0.0797753493495921,-0.0118756527409374,-0.28580430774176
1.9431112,0.103381088256481,-0.0201593292603008,-0.389180333946226
1.957112,0.124705571087596,-0.0301419528457202,-0.486475417432782
1.9701127,0.124705571087596,-0.0301419528457202,-0.486475417432782
1.9841135,0.124705571087596,-0.0301419528457202,-0.486475417432782
1.9981143,0.124705571087596,-0.0301419528457202,-0.486475417432782
2.0121151,0.124705571087596,-0.0301419528457202,-0.486475417432782
