time,x,y,t
0.0040003,0,0,0
0.017001,0,0,0
0.0290017,0,0,0
0.0400023,0,0,0
0.0510029,0,0,0
0.0740043,0,0,0
0.0850049,0,0,0
0.0970056,0,0,0
0.1080062,0,0,0
0.1190068,0,0,0
0.1470084,0,0,0
0.1650095,0,0,0
0.1760101,0,0,0
0.1880108,0,0,0
0.1980114,0,0,0
0.210012,0,0,0
0.2220127,0,0,0
0.2350135,0,0,0
0.2480142,0,0,0
0.261015,0,0,0
0.2720156,0,0,0
0.2830162,0,0,0
0.2940168,0,0,0
0.3050175,0,0,0
0.3160181,0,0,0
0.3270187,0,0,0
0.3380194,0,0,0
0.34902,0,0,0
0.3610207,0,0,0
0.3710212,0,0,0
0.3830219,0,0,0
0.3950226,0,0,0
0.4070233,0,0,0
0.4210241,0,0,0
0.437025,0,0,0
0.471027,0,0,0
0.4840277,0,0,0
0.4980285,0,0,0
0.5090291,0,0,0
0.5210298,0,0,0
0.5330305,0,0,0
0.5450312,0,0,0
0.5600321,0,0,0
0.5710327,0,0,0
0.5840334,0,0,0
0.5950341,0,0,0
0.6070347,0,0,0
0.6190354,0,0,0
0.6350363,0,0,0
0.6650381,0,0,0
0.6770388,0,0,0
0.6880394,0,0,0
0.7000401,0,0,0
0.7120408,0,0,0
0.7240414,0,0,0
0.7350421,0,0,0
0.7480428,0,0,0
0.7600435,0,0,0
0.7740443,0,0,0
0.787045,0,0,0
0.7980457,0,0,0
0.8120465,0,0,0
0.8250472,0,0,0
0.838048,0,0,0
0.8510487,0,0,0
0.8830505,0,0,0
0.8960513,0,0,0
0.9070519,0,0,0
0.9190526,0,0,0
0.9310533,0,0,0
0.944054,0,0,0
0.9550547,0,0,0
0.9670553,0,0,0
0.9800561,0,0,0
0.9920568,0,0,0
1.0030574,0,0,0
1.0160581,0,0,0
1.0280588,0,0,0
1.0520602,0,0,0
1.0750615,0,0,0
1.0880623,0,0,0
1.1000629,0,0,0
1.1110636,0,0,0
1.1230643,0,0,0
1.136065,0,0,0
1.1480657,0,0,0
1.1600664,0,0,0
1.1720671,0,0,0
1.1850678,0,0,0
1.1970685,0,0,0
1.2100692,0,0,0
1.2220699,0,0,0
1.2330706,0,0,0
1.2460713,0,0,0
1.2620722,0,0,0
1.2880737,0,0,0
1.3010744,0,0,0
1.3130751,0,0,0
1.3260759,0,0,0
1.3370765,0,0,0
1.3500772,0,0,0
1.3610779,0,0,0
1.3730786,0,0,0
1.3850792,0,0,0
1.3970799,0,0,0
1.4100807,0,0,0
1.4230814,0,0,0
1.4340821,0,0,0
1.4550833,0,0,0
1.468084,0,0,0
1.4840849,0,0,0
1.4950855,0,0,0
1.5070862,0,0,0
1.5240872,0,0,0
1.5360879,0,0,0
1.5490886,0,0,0
1.5600893,0,0,0
1.57309,0,0,0
1.5850907,0,0,0
1.5970914,0,0,0
1.6090921,0,0,0
1.6210927,0,0,0
1.6340935,0,0,0
1.6480943,0,0,0
1.661095,0,0,0
1.6930969,0,0,0
1.7060976,0,0,0
1.7190984,0,0,0
1.7320991,0,0,0
1.7460999,0,0,0
1.7581006,0,0,0
1.7721014,-0.00588591722681034,7.15873805632508E-05,-0.0243237708716391
1.7841021,-0.00588591722681034,7.15873805632508E-05,-0.0243237708716391
1.7971028,-0.00588591722681034,7.15873805632508E-05,-0.0243237708716391
1.8111036,-0.00588591722681034,7.15873805632508E-05,-0.0243237708716391
1.8241044,-0.00588591722681034,7.15873805632508E-05,-0.0243237708716391
1.836105,-0.00588591722681034,7.15873805632508E-05,-0.0243237708716391
1.8571062,-0.00588591722681034,7.15873805632508E-05,-0.0243237708716391
1.8821077,-0.022051767923572,0.000907913005854868,-0.0790522553328271
1.8951084,-0.022051767923572,0.000907913005854868,-0.0790522553328271
1.9071091,-0.022051767923572,0.000907913005854868,-0.0790522553328271
1.9191098,-0.022051767923572,0.000907913005854868,-0.0790522553328271
1.9311105,-0.022051767923572,0.000907913005854868,-0.0790522553328271
1.9431112,-0.022051767923572,0.000907913005854868,-0.0790522553328271
1.9551119,-0.022051767923572,0.000907913005854868,-0.0790522553328271
1.9671125,-0.022051767923572,0.000907913005854868,-0.0790522553328271
1.9791132,-0.022051767923572,0.000907913005854868,-0.0790522553328271
1.9901139,-0.022051767923572,0.000907913005854868,-0.0790522553328271
2.0021145,-0.022051767923572,0.000907913005854868,-0.0790522553328271
2.0141152,-0.022051767923572,0.000907913005854868,-0.0790522553328271
2.0261159,-0.022051767923572,0.000907913005854868,-0.0790522553328271
2.0421168,-0.022051767923572,0.000907913005854868,-0.0790522553328271
2.0911196,-0.0381369137524713,0.00272512322059384,-0.145942625229835
2.1041204,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.1181212,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.1301219,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.1421225,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.1571234,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.1691241,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.1821248,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.1951256,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.2081263,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.2211271,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.2331278,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.2511288,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.2641295,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.2771303,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.2911311,-0.0555220981842883,0.00582313539890696,-0.206752052408932
2.3031318,-0.0726868769061405,0.00997195313593959,-0.26756147958803
2.3171326,-0.0726868769061405,0.00997195313593959,-0.26756147958803
2.3291332,-0.0726868769061405,0.00997195313593959,-0.26756147958803
2.3461342,-0.0881754319527536,0.0146771451479137,-0.322289964049218
2.359135,-0.0881754319527536,0.0146771451479137,-0.322289964049218
2.3751359,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.3881366,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.4021374,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.4161382,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.4281389,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.4391395,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.4521403,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.4661411,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.4791418,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.4961428,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.5081435,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.5191441,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.5311448,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.5441455,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.5561462,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.5681469,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.5811477,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.5941484,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.6071491,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.6201499,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.6331506,-0.0992479962430103,0.0186765082789392,-0.370937505792496
2.6581521,-0.108766871677104,0.0226140228730805,-0.413504104817865
2.6711528,-0.108766871677104,0.0226140228730805,-0.413504104817865
2.6851536,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.7071549,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.7211557,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.7331564,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.745157,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.7571577,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.7701585,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.7831592,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.79616,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.8091607,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.8221614,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.8351622,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.8471629,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.8691641,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.8831649,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.9141667,-0.118135781103451,0.0268961423097369,-0.443908818407414
2.9281675,-0.133845392873753,0.0349615260707021,-0.504718245586512
2.9411683,-0.133845392873753,0.0349615260707021,-0.504718245586512
2.9531689,-0.133845392873753,0.0349615260707021,-0.504718245586512
2.9661697,-0.142754020507246,0.0401335048406363,-0.54728484461188
2.9781704,-0.142754020507246,0.0401335048406363,-0.54728484461188
2.9911711,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.0021717,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.0151725,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.0271732,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.0431741,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.0551748,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.0671755,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.0791761,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.0961771,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.1081778,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.1201785,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.1311791,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.1431798,-0.142754020507246,0.0401335048406363,-0.54728484461188
3.1561806,-0.152693785572528,0.046442043170763,-0.583770500919339
3.1701814,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.182182,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.1941827,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.2061834,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.2181841,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.2291847,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.2411854,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.2571863,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.2711871,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.2841879,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.2961886,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.3101894,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.32219,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.3341907,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.3461914,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.3581921,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.3701928,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.3811934,-0.164720325442806,0.0549225799144245,-0.644579928098436
3.3931941,-0.189137857124066,0.0738646295124637,-0.674984641687985
3.4051948,-0.189137857124066,0.0738646295124637,-0.674984641687985
3.4181955,-0.189137857124066,0.0738646295124637,-0.674984641687985
3.4381967,-0.202047714443009,0.0836303733810084,-0.620256157226797
3.4491973,-0.202047714443009,0.0836303733810084,-0.620256157226797
3.4671983,-0.202047714443009,0.0836303733810084,-0.620256157226797
3.4831993,-0.202047714443009,0.0836303733810084,-0.620256157226797
3.5002002,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.5112009,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.5242016,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.5352022,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.548203,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.5592036,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.5712043,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.583205,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.5992059,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.6142067,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.6292076,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.6622095,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.6802105,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.6912112,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.7042119,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.7152125,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.7272132,-0.216782262342566,0.0933635853575833,-0.54728484461188
3.741214,-0.232187213395508,0.101996649717457,-0.474313531996963
3.7522146,-0.232187213395508,0.101996649717457,-0.474313531996963
3.7642153,-0.232187213395508,0.101996649717457,-0.474313531996963
3.7772161,-0.248180575518845,0.109483617406522,-0.401342219382045
3.7882167,-0.248180575518845,0.109483617406522,-0.401342219382045
3.8002174,-0.248180575518845,0.109483617406522,-0.401342219382045
3.8122181,-0.248180575518845,0.109483617406522,-0.401342219382045
3.8242188,-0.248180575518845,0.109483617406522,-0.401342219382045
3.8402197,-0.248180575518845,0.109483617406522,-0.401342219382045
3.8552205,-0.248180575518845,0.109483617406522,-0.401342219382045
3.881222,-0.248180575518845,0.109483617406522,-0.401342219382045
3.8972229,-0.248180575518845,0.109483617406522,-0.401342219382045
3.9202243,-0.248180575518845,0.109483617406522,-0.401342219382045
3.933225,-0.248180575518845,0.109483617406522,-0.401342219382045
3.9452257,-0.248180575518845,0.109483617406522,-0.401342219382045
3.9582264,-0.248180575518845,0.109483617406522,-0.401342219382045
3.9722272,-0.248180575518845,0.109483617406522,-0.401342219382045
3.985228,-0.248180575518845,0.109483617406522,-0.401342219382045
3.9982287,-0.248180575518845,0.109483617406522,-0.401342219382045
4.0122295,-0.248180575518845,0.109483617406522,-0.401342219382045
4.0262303,-0.248180575518845,0.109483617406522,-0.401342219382045
4.038231,-0.248180575518845,0.109483617406522,-0.401342219382045
4.056232,-0.248180575518845,0.109483617406522,-0.401342219382045
4.0682327,-0.248180575518845,0.109483617406522,-0.401342219382045
4.0792333,-0.248180575518845,0.109483617406522,-0.401342219382045
4.0922341,-0.248180575518845,0.109483617406522,-0.401342219382045
4.1092351,-0.248180575518845,0.109483617406522,-0.401342219382045
4.1202357,-0.248180575518845,0.109483617406522,-0.401342219382045
4.1312363,-0.248180575518845,0.109483617406522,-0.401342219382045
4.1472372,-0.248180575518845,0.109483617406522,-0.401342219382045
4.1582379,-0.303293362370364,0.125496587172571,-0.164185453383564
4.1702386,-0.326681793370459,0.128210926321694,-0.0668903698970075
4.1832393,-0.326681793370459,0.128210926321694,-0.0668903698970075
4.1992402,-0.328149784704013,0.128313751861964,-0.0729713126149173
4.2102408,-0.351688229979293,0.128886408552617,0.0243237708716392
4.2222415,-0.351688229979293,0.128886408552617,0.0243237708716392
4.2342422,-0.351688229979293,0.128886408552617,0.0243237708716392
4.247243,-0.351688229979293,0.128886408552617,0.0243237708716392
4.2582436,-0.351688229979293,0.128886408552617,0.0243237708716392
4.2722444,-0.351688229979293,0.128886408552617,0.0243237708716392
4.2862452,-0.351688229979293,0.128886408552617,0.0243237708716392
4.2972458,-0.351688229979293,0.128886408552617,0.0243237708716392
4.3092465,-0.351688229979293,0.128886408552617,0.0243237708716392
4.3222472,-0.351688229979293,0.128886408552617,0.0243237708716392
4.3342479,-0.351688229979293,0.128886408552617,0.0243237708716392
4.3462486,-0.351688229979293,0.128886408552617,0.0243237708716392
4.3572492,-0.351688229979293,0.128886408552617,0.0243237708716392
4.3692499,-0.351688229979293,0.128886408552617,0.0243237708716392
4.3822507,-0.351688229979293,0.128886408552617,0.0243237708716392
4.3932513,-0.351688229979293,0.128886408552617,0.0243237708716392
4.405252,-0.351688229979293,0.128886408552617,0.0243237708716392
4.4182527,-0.351688229979293,0.128886408552617,0.0243237708716392
4.4292534,-0.376632991613821,0.126986652511903,0.127699797076105
4.4412541,-0.376632991613821,0.126986652511903,0.127699797076105
4.4532547,-0.376632991613821,0.126986652511903,0.127699797076105
4.4662555,-0.401248544897341,0.122522938524219,0.231075823280572
4.4822564,-0.401248544897341,0.122522938524219,0.231075823280572
4.4982573,-0.423878788593136,0.116022291484763,0.328370906767128
4.5152583,-0.423878788593136,0.116022291484763,0.328370906767128
4.527259,-0.423878788593136,0.116022291484763,0.328370906767128
4.5382596,-0.423878788593136,0.116022291484763,0.328370906767128
4.5502603,-0.423878788593136,0.116022291484763,0.328370906767128
4.562261,-0.423878788593136,0.116022291484763,0.328370906767128
4.5752617,-0.423878788593136,0.116022291484763,0.328370906767128
4.5872624,-0.423878788593136,0.116022291484763,0.328370906767128
4.5992631,-0.423878788593136,0.116022291484763,0.328370906767128
4.6122638,-0.423878788593136,0.116022291484763,0.328370906767128
4.6242645,-0.423878788593136,0.116022291484763,0.328370906767128
4.6362652,-0.423878788593136,0.116022291484763,0.328370906767128
4.6532662,-0.423878788593136,0.116022291484763,0.328370906767128
4.667267,-0.423878788593136,0.116022291484763,0.328370906767128
4.6792677,-0.423878788593136,0.116022291484763,0.328370906767128
4.6912684,-0.423878788593136,0.116022291484763,0.328370906767128
4.703269,-0.423878788593136,0.116022291484763,0.328370906767128
4.7232702,-0.423878788593136,0.116022291484763,0.328370906767128
4.7342708,-0.423878788593136,0.116022291484763,0.328370906767128
4.7462715,-0.423878788593136,0.116022291484763,0.328370906767128
4.7582722,-0.423878788593136,0.116022291484763,0.328370906767128
4.7742731,-0.446119556629038,0.108293476644443,0.340532792202948
4.7862738,-0.446119556629038,0.108293476644443,0.340532792202948
4.7982745,-0.446119556629038,0.108293476644443,0.340532792202948
4.8112752,-0.464246707527319,0.10217890317819,0.310128078613399
4.8232759,-0.464246707527319,0.10217890317819,0.310128078613399
4.8342765,-0.464246707527319,0.10217890317819,0.310128078613399
4.8462772,-0.464246707527319,0.10217890317819,0.310128078613399
4.8612781,-0.464246707527319,0.10217890317819,0.310128078613399
4.8752789,-0.464246707527319,0.10217890317819,0.310128078613399
4.8882796,-0.464246707527319,0.10217890317819,0.310128078613399
4.8992803,-0.464246707527319,0.10217890317819,0.310128078613399
4.9112809,-0.464246707527319,0.10217890317819,0.310128078613399
4.9312821,-0.464246707527319,0.10217890317819,0.310128078613399
4.9442828,-0.464246707527319,0.10217890317819,0.310128078613399
4.9552835,-0.464246707527319,0.10217890317819,0.310128078613399
4.9682842,-0.464246707527319,0.10217890317819,0.310128078613399
4.9842851,-0.464246707527319,0.10217890317819,0.310128078613399
5.0062864,-0.491278320019602,0.0950330448898287,0.206752052408932
5.034288,-0.502855669540148,0.0928972631840391,0.158104510665654
5.0472887,-0.502855669540148,0.0928972631840391,0.158104510665654
5.0592894,-0.502855669540148,0.0928972631840391,0.158104510665654
5.0822907,-0.502855669540148,0.0928972631840391,0.158104510665654
5.0962915,-0.502855669540148,0.0928972631840391,0.158104510665654
5.1092923,-0.502855669540148,0.0928972631840391,0.158104510665654
5.1322936,-0.502855669540148,0.0928972631840391,0.158104510665654
5.1452943,-0.502855669540148,0.0928972631840391,0.158104510665654
5.1582951,-0.502855669540148,0.0928972631840391,0.158104510665654
5.1692957,-0.502855669540148,0.0928972631840391,0.158104510665654
5.1802963,-0.502855669540148,0.0928972631840391,0.158104510665654
5.192297,-0.502855669540148,0.0928972631840391,0.158104510665654
5.2042977,-0.502855669540148,0.0928972631840391,0.158104510665654
5.2172984,-0.502855669540148,0.0928972631840391,0.158104510665654
5.2282991,-0.502855669540148,0.0928972631840391,0.158104510665654
5.2412998,-0.514523181934081,0.0913269957058442,0.109456968922376
5.2573007,-0.514523181934081,0.0913269957058442,0.109456968922376
5.2713015,-0.526246946414452,0.0902546469638365,0.0729713126149173
5.2843023,-0.526246946414452,0.0902546469638365,0.0729713126149173
5.2953029,-0.526246946414452,0.0902546469638365,0.0729713126149173
5.3083036,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.3193043,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.3343051,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.3463058,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.3583065,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.3703072,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.3823079,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.3973087,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.4123096,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.4253103,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.4393111,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.4533119,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.4743131,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.4863138,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.4993146,-0.535063255407705,0.0897716614238862,0.0364856563074586
5.5173156,-0.545363182040689,0.0896150662004054,-0.00608094271790982
5.5343166,-0.545363182040689,0.0896150662004054,-0.00608094271790982
5.5473173,-0.554190099018919,0.0898298124594003,-0.0425665990253685
5.5603181,-0.554190099018919,0.0898298124594003,-0.0425665990253685
5.5723187,-0.554190099018919,0.0898298124594003,-0.0425665990253685
5.5853195,-0.554190099018919,0.0898298124594003,-0.0425665990253685
5.5973202,-0.554190099018919,0.0898298124594003,-0.0425665990253685
5.6103209,-0.554190099018919,0.0898298124594003,-0.0425665990253685
5.6243217,-0.554190099018919,0.0898298124594003,-0.0425665990253685
5.6373225,-0.554190099018919,0.0898298124594003,-0.0425665990253685
5.6613238,-0.554190099018919,0.0898298124594003,-0.0425665990253685
5.6743246,-0.554190099018919,0.0898298124594003,-0.0425665990253685
5.6853252,-0.554190099018919,0.0898298124594003,-0.0425665990253685
5.698326,-0.564470225269801,0.0904870909200324,-0.0851331980507369
5.7103266,-0.564470225269801,0.0904870909200324,-0.0851331980507369
5.7223273,-0.564470225269801,0.0904870909200324,-0.0851331980507369
5.7353281,-0.574713069907106,0.091581231882116,-0.127699797076105
5.7473288,-0.574713069907106,0.091581231882116,-0.127699797076105
5.7593294,-0.574713069907106,0.091581231882116,-0.127699797076105
5.7703301,-0.574713069907106,0.091581231882116,-0.127699797076105
5.7823308,-0.574713069907106,0.091581231882116,-0.127699797076105
