time,x,y,t
0.0050025,0,0,0
0.0220139,0,0,0
0.0370265,0,0,0
0.0520543,0,0,0
0.0850695,0,0,0
0.1000763,0,0,0
0.124088,0,0,0
0.1390984,0,0,0
0.1531534,0,0,0
0.1691777,0,0,0
0.1861735,0,0,0
0.2031844,0,0,0
0.2201941,0,0,0
0.2352156,0,0,0
0.2502501,0,0,0
0.2662588,0,0,0
0.2822711,0,0,0
0.2982838,0,0,0
0.3192967,0,0,0
0.3353098,0,0,0
0.350322,0,0,0
0.3673307,0,0,0
0.3813447,0,0,0
0.3973712,0,0,0
0.4133651,0,0,0
0.4313761,0,0,0
0.4463865,0,0,0
0.4613979,0,0,0
0.4914191,0,0,0
0.5094324,0,0,0
0.5284465,0,0,0
0.5524716,0,0,0
0.5684735,0,0,0
0.5844894,0,0,0
0.600498,0,0,0
0.6155156,0,0,0
0.6325216,0,0,0
0.6485303,0,0,0
0.6705459,0,0,0
0.6925615,0,0,0
0.7125775,0,0,0
0.7275861,0,0,0
0.7455989,0,0,0
0.7596093,0,0,0
0.7756278,0,0,0
0.7906315,0,0,0
0.80665,0,0,0
0.8226529,0,0,0
0.8386647,0,0,0
0.8536787,0,0,0
0.8806949,0,0,0
0.8957232,0,0,0
0.9117171,0,0,0
0.927728,0,0,0
0.9427407,0,0,0
0.9587699,0,0,0
0.9737634,0,0,0
0.989772,0,0,0
1.0057865,0,0,0
1.0217947,0,0,0
1.0358047,0,0,0
1.0568198,0,0,0
1.0718302,0,0,0
1.0898443,0,0,0
1.1108595,0,0,0
1.1288704,0,0,0
1.144884,0,0,0
1.1608936,0,0,0
1.175904,0,0,0
1.1909153,0,0,0
1.2059275,0,0,0
1.2219634,0,0,0
1.2389574,0,0,0
1.2559608,0,0,0
1.2789782,0,0,0
1.2999915,0,0,0
1.3150042,0,0,0
1.3320178,0,0,0
1.3490448,0,0,0
1.3650379,0,0,0
1.3810497,0,0,0
1.3960606,0,0,0
1.4141188,0,0,0
1.4291186,0,0,0
1.4451406,0,0,0
1.4601408,0,0,0
1.4951676,0,0,0
1.5121799,0,0,0
1.5291931,0,0,0
1.545212,0,0,0
1.5592108,0,0,0
1.5752262,0,0,0
1.591238,0,0,0
1.6072484,0,0,0
1.6232669,0,0,0
1.6402689,0,0,0
1.6562928,0,0,0
1.6712934,0,0,0
1.6913045,0,0,0
1.709319,0,0,0
1.72733,0,0,0
1.7453432,0,0,0
1.761355,0,0,0
1.776365,0,0,0
1.7913776,0,0,0
1.8053894,0,0,0
1.8223999,0,0,0
1.8384094,0,0,0
1.853439,0,0,0
1.8684307,0,0,0
1.9084609,0,0,0
1.9244722,0,0,0
1.939484,0,0,0
1.9554971,0,0,0
1.9725215,0,0,0
1.9895244,0,0,0
2.0055295,0,0,0
2.0205966,0,0,0
2.0376057,0,0,0
2.052634,0,0,0
2.0676288,0,0,0
2.1147164,0,0,0
2.133727,0,0,0
2.1497495,0,0,0
2.1647514,0,0,0
2.1817615,0,0,0
2.1977817,0,0,0
2.2137864,0,0,0
2.2297995,0,0,0
2.2468074,0,0,0
2.2628227,0,0,0
2.2778314,0,0,0
2.2958611,0,0,0
2.3228626,0,0,0
2.3399057,0,0,0
2.3568899,0,0,0
2.3729008,0,0,0
2.389909,0,0,0
2.4049221,0,0,0
2.4209317,0,0,0
2.4369431,0,0,0
2.4699654,0,0,0
2.485983,0,0,0
2.5020206,0,0,0
2.5200048,0,0,0
2.5370167,0,0,0
2.5510239,0,0,0
2.5680353,0,0,0
2.5840556,0,0,0
2.6020778,0,0,0
2.618102,0,0,0
2.6351009,0,0,0
2.6671076,0,0,0
2.689121,0,0,0
2.7071355,0,0,0
2.7221705,0,0,0
2.7391591,0,0,0
2.7551861,0,0,0
2.7701809,0,0,0
2.7871909,0,0,0
2.8042032,0,0,0
2.8192154,0,0,0
2.8352277,0,0,0
2.8532373,0,0,0
2.8752552,0,0,0
2.8902651,0,0,0
2.9082784,0,0,0
2.9233147,0,0,0
2.9393278,0,0,0
2.9553374,0,0,0
2.9703487,0,0,0
2.9863725,0,0,0
3.0023705,0,0,0
3.0183854,0,0,0
3.0363991,0,0,0
3.0654172,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.0804263,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.096439,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.1174528,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.1354664,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.1534783,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.1735117,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.1895498,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.2055652,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.2215863,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.2375959,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.2536064,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.2826312,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.3016592,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.3216551,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.3376673,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.3566926,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.372695,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.3907065,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.4077156,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.423727,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.4397624,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.4637576,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.4827691,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.4997849,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.5187946,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.5368069,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.5538197,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.5798662,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.5969165,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.6128926,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.6299218,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.6489177,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.6659313,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.6859415,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.705957,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.7249751,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.7409834,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.7579948,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.7740048,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.7900161,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.8090749,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.8251041,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.8410958,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.8581126,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.8831247,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.9011384,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.9241541,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.9411699,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.9581907,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.9752186,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
3.9922393,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.0092873,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.025284,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.0412935,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.0573227,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.0743185,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.0883258,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.1093418,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.1383617,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.1533761,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.1693834,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.1854318,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.2044094,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.2204225,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.2354334,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.2534435,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.2704562,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.3004789,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.319493,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.3375053,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.3565288,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.3735353,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.390544,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.4065835,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.4255704,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.4415764,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.4585918,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.4736,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.4896136,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.5076255,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.5296407,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.5476548,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.5696677,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.588681,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.605695,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
4.624727,-0.00147158133571609,4.47431469117599E-06,-0.00608094271790978
